External temperature (Celsius degree);Date;Time
10.71;14/11/2021;00:00:00
10.69;14/11/2021;00:15:00
10.67;14/11/2021;00:30:00
10.6;14/11/2021;00:45:00
10.62;14/11/2021;01:00:00
10.5;14/11/2021;01:15:00
10.43;14/11/2021;01:30:00
10.45;14/11/2021;01:45:00
10.7;14/11/2021;02:00:00
10.59;14/11/2021;02:15:00
10.51;14/11/2021;02:30:00
10.63;14/11/2021;02:45:00
10.83;14/11/2021;03:00:00
10.795;14/11/2021;03:15:00
10.52;14/11/2021;03:30:00
10.505;14/11/2021;03:45:00
10.49;14/11/2021;04:00:00
10.475;14/11/2021;04:15:00
10.46;14/11/2021;04:30:00
10.39;14/11/2021;04:45:00
10.25;14/11/2021;05:00:00
10.24;14/11/2021;05:15:00
10.2;14/11/2021;05:30:00
10.2;14/11/2021;05:45:00
10.2;14/11/2021;06:00:00
10.13;14/11/2021;06:15:00
10.18;14/11/2021;06:30:00
10.175;14/11/2021;06:45:00
10.17;14/11/2021;07:00:00
10.21;14/11/2021;07:15:00
10.09;14/11/2021;07:30:00
10.09;14/11/2021;07:45:00
10.17;14/11/2021;08:00:00
10.17;14/11/2021;08:15:00
10.21;14/11/2021;08:30:00
10.3;14/11/2021;08:45:00
10.44;14/11/2021;09:00:00
10.49;14/11/2021;09:15:00
10.49;14/11/2021;09:30:00
10.465;14/11/2021;09:45:00
10.63;14/11/2021;10:00:00
10.63;14/11/2021;10:15:00
10.83;14/11/2021;10:30:00
10.91;14/11/2021;10:45:00
10.99;14/11/2021;11:00:00
11.05;14/11/2021;11:15:00
11.06;14/11/2021;11:30:00
11.065;14/11/2021;11:45:00
11.07;14/11/2021;12:00:00
11.03;14/11/2021;12:15:00
11.1;14/11/2021;12:30:00
11.185;14/11/2021;12:45:00
11.28;14/11/2021;13:00:00
11.09;14/11/2021;13:15:00
10.97;14/11/2021;13:30:00
10.89;14/11/2021;13:45:00
10.85;14/11/2021;14:00:00
10.83;14/11/2021;14:15:00
10.76;14/11/2021;14:30:00
10.73;14/11/2021;14:45:00
10.69;14/11/2021;15:00:00
10.7;14/11/2021;15:15:00
10.69;14/11/2021;15:30:00
10.54;14/11/2021;15:45:00
10.5;14/11/2021;16:00:00
10.51;14/11/2021;16:15:00
10.79;14/11/2021;16:30:00
10.79;14/11/2021;16:45:00
10.61;14/11/2021;17:00:00
10.62;14/11/2021;17:15:00
10.47;14/11/2021;17:30:00
10.52;14/11/2021;17:45:00
10.45;14/11/2021;18:00:00
10.57;14/11/2021;18:15:00
10.29;14/11/2021;18:30:00
10.37;14/11/2021;18:45:00
10.35;14/11/2021;19:00:00
10.39;14/11/2021;19:15:00
10.34;14/11/2021;19:30:00
10.31;14/11/2021;19:45:00
10.28;14/11/2021;20:00:00
10.27;14/11/2021;20:15:00
10.11;14/11/2021;20:30:00
10.18;14/11/2021;20:45:00
10.69;14/11/2021;21:00:00
10.435;14/11/2021;21:15:00
10.44;14/11/2021;21:30:00
9.91;14/11/2021;21:45:00
9.81;14/11/2021;22:00:00
9.885;14/11/2021;22:15:00
10.1;14/11/2021;22:30:00
10.16;14/11/2021;22:45:00
9.83;14/11/2021;23:00:00
9.8;14/11/2021;23:15:00
9.85;14/11/2021;23:30:00
9.83;14/11/2021;23:45:00
10.25;15/11/2021;00:00:00
10.045;15/11/2021;00:15:00
9.79;15/11/2021;00:30:00
9.54;15/11/2021;00:45:00
9.42;15/11/2021;01:00:00
9.405;15/11/2021;01:15:00
9.39;15/11/2021;01:30:00
9.365;15/11/2021;01:45:00
9.27;15/11/2021;02:00:00
9.4;15/11/2021;02:15:00
9.53;15/11/2021;02:30:00
9.6;15/11/2021;02:45:00
9.67;15/11/2021;03:00:00
9.5;15/11/2021;03:15:00
9.5;15/11/2021;03:30:00
9.54;15/11/2021;03:45:00
9.76;15/11/2021;04:00:00
9.67;15/11/2021;04:15:00
9.69;15/11/2021;04:30:00
10.035;15/11/2021;04:45:00
9.97;15/11/2021;05:00:00
9.97;15/11/2021;05:15:00
9.91;15/11/2021;05:30:00
9.96;15/11/2021;05:45:00
9.9;15/11/2021;06:00:00
10.27;15/11/2021;06:15:00
10.44;15/11/2021;06:30:00
10.41;15/11/2021;06:45:00
10.72;15/11/2021;07:00:00
10.59;15/11/2021;07:15:00
10.74;15/11/2021;07:30:00
10.765;15/11/2021;07:45:00
10.7;15/11/2021;08:00:00
10.865;15/11/2021;08:15:00
11.03;15/11/2021;08:30:00
11.34;15/11/2021;08:45:00
11.61;15/11/2021;09:00:00
11.635;15/11/2021;09:15:00
11.7;15/11/2021;09:30:00
11.71;15/11/2021;09:45:00
11.8;15/11/2021;10:00:00
11.94;15/11/2021;10:15:00
11.92;15/11/2021;10:30:00
11.975;15/11/2021;10:45:00
12.33;15/11/2021;11:00:00
12.465;15/11/2021;11:15:00
12.47;15/11/2021;11:30:00
12.53;15/11/2021;11:45:00
12.49;15/11/2021;12:00:00
12.505;15/11/2021;12:15:00
12.52;15/11/2021;12:30:00
12.52;15/11/2021;12:45:00
12.58;15/11/2021;13:00:00
12.51;15/11/2021;13:15:00
12.53;15/11/2021;13:30:00
12.59;15/11/2021;13:45:00
12.67;15/11/2021;14:00:00
12.715;15/11/2021;14:15:00
12.76;15/11/2021;14:30:00
12.55;15/11/2021;14:45:00
12.4;15/11/2021;15:00:00
12.44;15/11/2021;15:15:00
12.35;15/11/2021;15:30:00
12.29;15/11/2021;15:45:00
12.08;15/11/2021;16:00:00
12.04;15/11/2021;16:15:00
11.67;15/11/2021;16:30:00
11.715;15/11/2021;16:45:00
11.8;15/11/2021;17:00:00
11.62;15/11/2021;17:15:00
11.59;15/11/2021;17:30:00
11.555;15/11/2021;17:45:00
11.55;15/11/2021;18:00:00
11.525;15/11/2021;18:15:00
11.18;15/11/2021;18:30:00
11.14;15/11/2021;18:45:00
11.11;15/11/2021;19:00:00
11.08;15/11/2021;19:15:00
11.08;15/11/2021;19:30:00
11.11;15/11/2021;19:45:00
10.94;15/11/2021;20:00:00
11.04;15/11/2021;20:15:00
11.09;15/11/2021;20:30:00
10.985;15/11/2021;20:45:00
10.97;15/11/2021;21:00:00
10.93;15/11/2021;21:15:00
10.94;15/11/2021;21:30:00
10.78;15/11/2021;21:45:00
10.77;15/11/2021;22:00:00
10.64;15/11/2021;22:15:00
10.24;15/11/2021;22:30:00
10.285;15/11/2021;22:45:00
10.17;15/11/2021;23:00:00
10.305;15/11/2021;23:15:00
9.78;15/11/2021;23:30:00
10.04;15/11/2021;23:45:00
9.6;16/11/2021;00:00:00
9.615;16/11/2021;00:15:00
9.48;16/11/2021;00:30:00
9.55;16/11/2021;00:45:00
9.84;16/11/2021;01:00:00
9.58;16/11/2021;01:15:00
9.24;16/11/2021;01:30:00
9.44;16/11/2021;01:45:00
9.17;16/11/2021;02:00:00
9.78;16/11/2021;02:15:00
9.27;16/11/2021;02:30:00
9.165;16/11/2021;02:45:00
9.26;16/11/2021;03:00:00
9.24;16/11/2021;03:15:00
9.17;16/11/2021;03:30:00
9.11;16/11/2021;03:45:00
9.02;16/11/2021;04:00:00
8.92;16/11/2021;04:15:00
8.87;16/11/2021;04:30:00
8.81;16/11/2021;04:45:00
8.71;16/11/2021;05:00:00
9.205;16/11/2021;05:15:00
9.04;16/11/2021;05:30:00
8.935;16/11/2021;05:45:00
8.78;16/11/2021;06:00:00
8.49;16/11/2021;06:15:00
7.89;16/11/2021;06:30:00
8.73;16/11/2021;06:45:00
8.88;16/11/2021;07:00:00
9.29;16/11/2021;07:15:00
9.68;16/11/2021;07:30:00
9.32;16/11/2021;07:45:00
10.32;16/11/2021;08:00:00
10.36;16/11/2021;08:15:00
10.11;16/11/2021;08:30:00
10.165;16/11/2021;08:45:00
10.51;16/11/2021;09:00:00
10.57;16/11/2021;09:15:00
10.88;16/11/2021;09:30:00
11.065;16/11/2021;09:45:00
11.21;16/11/2021;10:00:00
11.25;16/11/2021;10:15:00
11.36;16/11/2021;10:30:00
11.74;16/11/2021;10:45:00
11.99;16/11/2021;11:00:00
11.99;16/11/2021;11:15:00
12.3;16/11/2021;11:30:00
12.375;16/11/2021;11:45:00
12.52;16/11/2021;12:00:00
12.42;16/11/2021;12:15:00
12.33;16/11/2021;12:30:00
12.385;16/11/2021;12:45:00
12.39;16/11/2021;13:00:00
12.3;16/11/2021;13:15:00
12.3;16/11/2021;13:30:00
12.335;16/11/2021;13:45:00
12.37;16/11/2021;14:00:00
12.37;16/11/2021;14:15:00
12.07;16/11/2021;14:30:00
11.97;16/11/2021;14:45:00
11.88;16/11/2021;15:00:00
11.68;16/11/2021;15:15:00
11.59;16/11/2021;15:30:00
11.43;16/11/2021;15:45:00
10.95;16/11/2021;16:00:00
10.865;16/11/2021;16:15:00
10.71;16/11/2021;16:30:00
10.64;16/11/2021;16:45:00
10.56;16/11/2021;17:00:00
10.55;16/11/2021;17:15:00
10.49;16/11/2021;17:30:00
10.37;16/11/2021;17:45:00
10.25;16/11/2021;18:00:00
10.2;16/11/2021;18:15:00
10.08;16/11/2021;18:30:00
10.06;16/11/2021;18:45:00
9.87;16/11/2021;19:00:00
9.955;16/11/2021;19:15:00
9.9;16/11/2021;19:30:00
9.89;16/11/2021;19:45:00
9.84;16/11/2021;20:00:00
9.66;16/11/2021;20:15:00
9.64;16/11/2021;20:30:00
9.6;16/11/2021;20:45:00
9.54;16/11/2021;21:00:00
9.565;16/11/2021;21:15:00
9.49;16/11/2021;21:30:00
9.495;16/11/2021;21:45:00
9.55;16/11/2021;22:00:00
9.57;16/11/2021;22:15:00
9.73;16/11/2021;22:30:00
9.665;16/11/2021;22:45:00
9.74;16/11/2021;23:00:00
9.765;16/11/2021;23:15:00
9.8;16/11/2021;23:30:00
9.68;16/11/2021;23:45:00
9.79;17/11/2021;00:00:00
9.735;17/11/2021;00:15:00
9.79;17/11/2021;00:30:00
9.775;17/11/2021;00:45:00
9.73;17/11/2021;01:00:00
9.76;17/11/2021;01:15:00
9.79;17/11/2021;01:30:00
9.7;17/11/2021;01:45:00
9.7;17/11/2021;02:00:00
9.74;17/11/2021;02:15:00
9.73;17/11/2021;02:30:00
9.73;17/11/2021;02:45:00
9.73;17/11/2021;03:00:00
9.795;17/11/2021;03:15:00
9.8;17/11/2021;03:30:00
9.62;17/11/2021;03:45:00
9.77;17/11/2021;04:00:00
9.655;17/11/2021;04:15:00
9.54;17/11/2021;04:30:00
9.25;17/11/2021;04:45:00
9.25;17/11/2021;05:00:00
9.43;17/11/2021;05:15:00
9.61;17/11/2021;05:30:00
9.59;17/11/2021;05:45:00
9.5;17/11/2021;06:00:00
9.55;17/11/2021;06:15:00
9.66;17/11/2021;06:30:00
9.69;17/11/2021;06:45:00
9.78;17/11/2021;07:00:00
9.815;17/11/2021;07:15:00
9.79;17/11/2021;07:30:00
9.88;17/11/2021;07:45:00
10.02;17/11/2021;08:00:00
10.09;17/11/2021;08:15:00
10.18;17/11/2021;08:30:00
10.335;17/11/2021;08:45:00
10.56;17/11/2021;09:00:00
10.61;17/11/2021;09:15:00
10.67;17/11/2021;09:30:00
10.7;17/11/2021;09:45:00
11.1;17/11/2021;10:00:00
11.28;17/11/2021;10:15:00
11.48;17/11/2021;10:30:00
11.725;17/11/2021;10:45:00
11.91;17/11/2021;11:00:00
12.02;17/11/2021;11:15:00
12.17;17/11/2021;11:30:00
12.435;17/11/2021;11:45:00
12.58;17/11/2021;12:00:00
12.615;17/11/2021;12:15:00
12.71;17/11/2021;12:30:00
12.54;17/11/2021;12:45:00
12.66;17/11/2021;13:00:00
12.84;17/11/2021;13:15:00
12.89;17/11/2021;13:30:00
12.88;17/11/2021;13:45:00
