Internal temperature area 1 (Celsius degree);Internal temperature area 2 (Celsius degree);External temperature (Celsius degree);HVAC power (kW);Date;Time
16.4;18.271;11.85;2.5;14/11/2021;00:00:00
16.256;18.075;11.8;2.967;14/11/2021;00:15:00
16.371;18.1;11.72;3.176;14/11/2021;00:30:00
16.412;18.189;11.71;3.37;14/11/2021;00:45:00
16.589;18.312;11.66;2.785;14/11/2021;01:00:00
16.489;18.488;11.705;2.028;14/11/2021;01:15:00
16.337;18.075;11.66;2.413;14/11/2021;01:30:00
16.556;18.4;11.76;3.065;14/11/2021;01:45:00
16.6;18.45;11.76;2.339;14/11/2021;02:00:00
16.5;18.5;11.75;2.089;14/11/2021;02:15:00
16.322;18.012;11.75;2.656;14/11/2021;02:30:00
16.556;18.4;11.75;3.135;14/11/2021;02:45:00
16.5;18.533;11.79;2.091;14/11/2021;03:00:00
16.329;18.244;11.69;2.439;14/11/2021;03:15:00
16.35;18.4;11.59;3.143;14/11/2021;03:30:00
16.522;18.688;11.57;2.576;14/11/2021;03:45:00
16.389;18.267;11.55;2.174;14/11/2021;04:00:00
16.4;18.114;11.53;2.824;14/11/2021;04:15:00
16.6;18.4;11.69;2.777;14/11/2021;04:30:00
16.444;18.362;11.63;2.079;14/11/2021;04:45:00
16.356;18.213;11.52;2.705;14/11/2021;05:00:00
16.489;18.25;11.46;3.454;14/11/2021;05:15:00
16.562;18.7;11.49;2.297;14/11/2021;05:30:00
16.333;18.025;11.51;2.439;14/11/2021;05:45:00
16.389;18.144;11.56;3.006;14/11/2021;06:00:00
16.433;18.633;11.76;3.619;14/11/2021;06:15:00
16.4;18.771;11.6;2.567;14/11/2021;06:30:00
16.289;18.286;11.735;2.759;14/11/2021;06:45:00
16.278;18.071;11.78;3.269;14/11/2021;07:00:00
16.311;18.66;11.83;3.649;14/11/2021;07:15:00
16.475;18.489;11.86;2.887;14/11/2021;07:30:00
16.367;18.55;11.9;2.161;14/11/2021;07:45:00
16.4;18.557;12.03;2.784;14/11/2021;08:00:00
16.511;18.687;12.03;3.004;14/11/2021;08:15:00
16.312;18.725;12.17;1.936;14/11/2021;08:30:00
16.4;18.614;12.255;2.778;14/11/2021;08:45:00
16.533;18.744;12.31;3.044;14/11/2021;09:00:00
16.422;18.714;12.35;2.099;14/11/2021;09:15:00
16.378;18.557;12.35;2.704;14/11/2021;09:30:00
16.522;18.489;12.525;3.187;14/11/2021;09:45:00
16.556;18.35;12.66;2.222;14/11/2021;10:00:00
16.344;18.3;12.73;2.365;14/11/2021;10:15:00
16.411;18.457;12.74;3.06;14/11/2021;10:30:00
16.65;18.478;12.77;2.718;14/11/2021;10:45:00
16.425;18.267;12.8;2.001;14/11/2021;11:00:00
16.422;18.1;12.78;2.979;14/11/2021;11:15:00
16.611;18.356;12.81;2.408;14/11/2021;11:30:00
16.344;18.178;12.88;2.277;14/11/2021;11:45:00
16.422;18.022;12.95;2.959;14/11/2021;12:00:00
16.556;18.267;13.07;2.972;14/11/2021;12:15:00
16.444;18.287;13.22;2.038;14/11/2021;12:30:00
16.322;18.012;13.27;2.707;14/11/2021;12:45:00
16.456;18.171;13.27;3.156;14/11/2021;13:00:00
16.462;18.35;13.35;2.65;14/11/2021;13:15:00
16.438;18.012;13.46;2.24;14/11/2021;13:30:00
16.322;17.75;13.55;2.751;14/11/2021;13:45:00
16.378;17.737;13.64;3.206;14/11/2021;14:00:00
16.362;18.214;13.59;3.189;14/11/2021;14:15:00
16.6;18.343;13.49;2.007;14/11/2021;14:30:00
16.456;18.162;13.39;2.119;14/11/2021;14:45:00
16.562;18.383;13.29;2.563;14/11/2021;15:00:00
16.589;18.4;13.2;2.952;14/11/2021;15:15:00
16.667;18.638;13.19;2.48;14/11/2021;15:30:00
16.533;18.478;13.03;2.028;14/11/2021;15:45:00
