Date and time,External temperature (Celsius degree)
2021-11-14 00:00:00,11.85
2021-11-14 00:15:00,11.8
2021-11-14 00:30:00,11.72
2021-11-14 00:45:00,11.71
2021-11-14 01:00:00,11.66
2021-11-14 01:15:00,11.705
2021-11-14 01:30:00,11.66
2021-11-14 01:45:00,11.76
2021-11-14 02:00:00,11.76
2021-11-14 02:15:00,11.75
2021-11-14 02:30:00,11.75
2021-11-14 02:45:00,11.75
2021-11-14 03:00:00,11.79
2021-11-14 03:15:00,11.69
2021-11-14 03:30:00,11.59
2021-11-14 03:45:00,11.57
2021-11-14 04:00:00,11.55
2021-11-14 04:15:00,11.53
2021-11-14 04:30:00,11.69
2021-11-14 04:45:00,11.63
2021-11-14 05:00:00,11.52
2021-11-14 05:15:00,11.46
2021-11-14 05:30:00,11.49
2021-11-14 05:45:00,11.510000000000002
2021-11-14 06:00:00,11.56
2021-11-14 06:15:00,11.76
2021-11-14 06:30:00,11.6
2021-11-14 06:45:00,11.735
2021-11-14 07:00:00,11.78
2021-11-14 07:15:00,11.83
2021-11-14 07:30:00,11.86
2021-11-14 07:45:00,11.9
2021-11-14 08:00:00,12.03
2021-11-14 08:15:00,12.03
2021-11-14 08:30:00,12.17
2021-11-14 08:45:00,12.254999999999999
2021-11-14 09:00:00,12.31
2021-11-14 09:15:00,12.35
2021-11-14 09:30:00,12.35
2021-11-14 09:45:00,12.524999999999999
2021-11-14 10:00:00,12.66
2021-11-14 10:15:00,12.73
2021-11-14 10:30:00,12.74
2021-11-14 10:45:00,12.77
2021-11-14 11:00:00,12.8
2021-11-14 11:15:00,12.78
2021-11-14 11:30:00,12.81
2021-11-14 11:45:00,12.879999999999999
2021-11-14 12:00:00,12.95
2021-11-14 12:15:00,13.07
2021-11-14 12:30:00,13.22
2021-11-14 12:45:00,13.27
2021-11-14 13:00:00,13.27
2021-11-14 13:15:00,13.35
2021-11-14 13:30:00,13.46
2021-11-14 13:45:00,13.55
2021-11-14 14:00:00,13.64
2021-11-14 14:15:00,13.59
2021-11-14 14:30:00,13.49
2021-11-14 14:45:00,13.39
2021-11-14 15:00:00,13.29
2021-11-14 15:15:00,13.2
2021-11-14 15:30:00,13.19
2021-11-14 15:45:00,13.030000000000001
2021-11-14 16:00:00,12.94
2021-11-14 16:15:00,12.899999999999999
2021-11-14 16:30:00,12.86
2021-11-14 16:45:00,12.96
2021-11-14 17:00:00,12.87
2021-11-14 17:15:00,12.774999999999999
2021-11-14 17:30:00,12.79
2021-11-14 17:45:00,12.48
2021-11-14 18:00:00,12.42
2021-11-14 18:15:00,12.46
2021-11-14 18:30:00,12.27
2021-11-14 18:45:00,12.25
2021-11-14 19:00:00,12.22
2021-11-14 19:15:00,12.3
2021-11-14 19:30:00,12.09
2021-11-14 19:45:00,12.085
2021-11-14 20:00:00,12.08
2021-11-14 20:15:00,12.129999999999999
2021-11-14 20:30:00,12.08
2021-11-14 20:45:00,12.06
2021-11-14 21:00:00,12.02
2021-11-14 21:15:00,12.065
2021-11-14 21:30:00,12.0
2021-11-14 21:45:00,11.875
2021-11-14 22:00:00,11.72
2021-11-14 22:15:00,11.665
2021-11-14 22:30:00,11.56
2021-11-14 22:45:00,11.5
2021-11-14 23:00:00,11.41
2021-11-14 23:15:00,11.405000000000001
2021-11-14 23:30:00,11.37
2021-11-14 23:45:00,11.379999999999999
2021-11-15 00:00:00,11.39
2021-11-15 00:15:00,11.49
2021-11-15 00:30:00,11.46
2021-11-15 00:45:00,11.5
2021-11-15 01:00:00,11.53
2021-11-15 01:15:00,11.585
2021-11-15 01:30:00,11.64
2021-11-15 01:45:00,11.845
2021-11-15 02:00:00,11.96
2021-11-15 02:15:00,11.97
2021-11-15 02:30:00,12.03
2021-11-15 02:45:00,11.934999999999999
2021-11-15 03:00:00,11.84
2021-11-15 03:15:00,11.89
2021-11-15 03:30:00,11.87
2021-11-15 03:45:00,11.85
2021-11-15 04:00:00,11.88
2021-11-15 04:15:00,12.030000000000001
2021-11-15 04:30:00,12.06
2021-11-15 04:45:00,11.945
2021-11-15 05:00:00,11.86
2021-11-15 05:15:00,11.850000000000001
2021-11-15 05:30:00,11.81
2021-11-15 05:45:00,11.695
2021-11-15 06:00:00,11.69
2021-11-15 06:15:00,11.754999999999999
2021-11-15 06:30:00,11.74
2021-11-15 06:45:00,11.75
2021-11-15 07:00:00,11.86
2021-11-15 07:15:00,11.86
2021-11-15 07:30:00,11.86
2021-11-15 07:45:00,12.004999999999999
2021-11-15 08:00:00,12.03
2021-11-15 08:15:00,12.14
2021-11-15 08:30:00,12.25
2021-11-15 08:45:00,12.22
2021-11-15 09:00:00,12.46
2021-11-15 09:15:00,12.73
2021-11-15 09:30:00,12.89
2021-11-15 09:45:00,12.91
2021-11-15 10:00:00,13.11
2021-11-15 10:15:00,13.17
2021-11-15 10:30:00,13.32
2021-11-15 10:45:00,13.49
2021-11-15 11:00:00,13.65
2021-11-15 11:15:00,13.629999999999999
2021-11-15 11:30:00,13.61
2021-11-15 11:45:00,13.879999999999999
2021-11-15 12:00:00,14.1
2021-11-15 12:15:00,14.04
2021-11-15 12:30:00,14.28
2021-11-15 12:45:00,14.43
2021-11-15 13:00:00,14.58
